challenger,incumbent,block_length,repetitions,bootstrap_mean,ci_2_5pct,ci_97_5pct,probability_mean_gt_zero
R1_level_change,R0_residual_level,6,20000,0.012318700823577364,0.006078592595636402,0.018971037407877582,0.99995
R2_roe_shrinkage,R1_level_change,6,20000,-0.00010603015138268055,-0.00036035809680199016,0.00013773249603744712,0.2
R3_confidence,R2_roe_shrinkage,6,20000,0.00037785339549704233,-0.0002270239777694404,0.0010248636266023332,0.88665
