specification,months,mean_rank_ic,rank_icir,positive_ic_ratio,annualized_arithmetic_g10_g1,cumulative_additive_g10_g1,annualized_top3_bottom3,max_year_contribution,mean_turnover_g10
pbroe_common,172,0.03379253842180792,1.2094641186163722,0.6511627906976745,0.08203764388740008,1.1758728957194011,0.06256207467492614,0.2334803499348611,1.0048353896129014
revision_common,172,0.022202510661614428,0.8952090972473215,0.6162790697674418,0.146292719645676,2.096862314921356,0.08142654911188224,0.2153370372166891,1.1684881200737933
combined_50_50,172,0.03965878015788037,1.6994124067712006,0.7151162790697675,0.15804601420145348,2.2653262035541664,0.10075914425274504,0.1842882227776081,1.151377036485996
