signal_date,net_return,ending_nav,specification,group
20120427,0.0117571073861491,1.011757107386149,R0_residual_level,1
20120427,0.0199889466303646,1.0199889466303649,R0_residual_level,2
20120427,0.0196894769960589,1.019689476996059,R0_residual_level,3
20120427,0.0167514594334885,1.0167514594334883,R0_residual_level,4
20120427,0.0245834369983781,1.0245834369983782,R0_residual_level,5
20120427,0.0146001929307997,1.0146001929307995,R0_residual_level,6
20120427,0.0186620856955068,1.0186620856955069,R0_residual_level,7
20120427,0.0199485841315307,1.0199485841315308,R0_residual_level,8
20120427,0.0308278794704546,1.0308278794704546,R0_residual_level,9
20120427,0.0237305645982119,1.023730564598212,R0_residual_level,10
20120531,-0.0686057487761643,0.9423447534543162,R0_residual_level,1
20120531,-0.0640884464087018,0.9546194396867764,R0_residual_level,2
20120531,-0.0276750960417492,0.991469472787432,R0_residual_level,3
20120531,-0.0471648682647035,0.968796510791363,R0_residual_level,4
20120531,-0.027555346288111,0.9963506855908248,R0_residual_level,5
20120531,-0.0425270911929728,0.9714521980016236,R0_residual_level,6
20120531,-0.0405706343958112,0.97733431864388,R0_residual_level,7
20120531,-0.0376657519917014,0.9815314537173456,R0_residual_level,8
20120531,-0.0356907473490981,0.994036862063868,R0_residual_level,9
20120531,-0.0474435666034073,0.975161135372753,R0_residual_level,10
20120629,-0.1128259398076992,0.8360238210229783,R0_residual_level,1
20120629,-0.10049033649026,0.8586894109725086,R0_residual_level,2
20120629,-0.0928915369145421,0.8993703496563566,R0_residual_level,3
20120629,-0.0894327929537799,0.8821543330274146,R0_residual_level,4
20120629,-0.0699332012582797,0.9266726925715768,R0_residual_level,5
20120629,-0.075351235985029,0.8982520741818283,R0_residual_level,6
20120629,-0.0889744680531195,0.8903765175324827,R0_residual_level,7
20120629,-0.0986493830721658,0.8847039813422033,R0_residual_level,8
20120629,-0.0921581905250951,0.9024282235408184,R0_residual_level,9
20120629,-0.1207715092776048,0.8573894532649229,R0_residual_level,10
20120731,0.0065615114040682,0.8415094008586934,R0_residual_level,1
20120731,0.0164833105326642,0.872843455184679,R0_residual_level,2
20120731,0.0086549542943901,0.907154358926362,R0_residual_level,3
20120731,0.0092609107938101,0.8903238856119546,R0_residual_level,4
20120731,0.0014294574949447,0.9279973317973338,R0_residual_level,5
20120731,0.0169490730143111,0.9134766141723925,R0_residual_level,6
20120731,0.0279356863448374,0.9152497966550788,R0_residual_level,7
20120731,0.0327124143598094,0.9136447845656426,R0_residual_level,8
20120731,0.003326375084298,0.9054300382989718,R0_residual_level,9
20120731,0.0251347965864505,0.8789397627681047,R0_residual_level,10
20120831,0.003199176474119,0.8442015379366705,R0_residual_level,1
20120831,0.0129426745489662,0.8841403839573295,R0_residual_level,2
20120831,0.0052420285863978,0.9119096880081295,R0_residual_level,3
20120831,0.0201102996155846,0.9082285657065226,R0_residual_level,4
20120831,0.0070388453926104,0.9345293615406104,R0_residual_level,5
20120831,-0.0008383623077306,0.9127107898100768,R0_residual_level,6
