cost_multiplier,specification,annualized_arithmetic_g10_g1,sharpe_zero_rf,maximum_drawdown,calmar
0,R0_residual_level,0.07384036254397001,0.6999360124344186,-0.2262226368785083,0.31204237596622036
0,R1_level_change,0.13803611869533927,1.1772934071184071,-0.16049492631879236,0.8716521816195042
0,R2_roe_shrinkage,0.1394006961292124,1.1778244571345489,-0.16377198574845875,0.8627918084116861
0,R3_confidence,0.13066257969119918,1.1384052379589245,-0.1521329669559761,0.8663886567945163
1,R0_residual_level,0.07355108741111124,0.697362154288594,-0.2261251072769651,0.31082726421712104
1,R1_level_change,0.1378430844123904,1.1758699444919216,-0.16052499722995328,0.8701512543982426
1,R2_roe_shrinkage,0.13920644266333376,1.176400123141199,-0.1638017092777443,0.8613143822451217
1,R3_confidence,0.13037312209848237,1.1360287684470725,-0.15250486793276963,0.8621611491019817
2,R0_residual_level,0.07326045319734865,0.6947756688100658,-0.22602777537535923,0.30960489587720674
2,R1_level_change,0.13765080234965504,1.1744553783513385,-0.1605536748906191,0.8686641797666321
2,R2_roe_shrinkage,0.1390136938505402,1.1749882931567417,-0.16383004347596464,0.8598554041814469
2,R3_confidence,0.1300850698087006,1.1336658370297332,-0.1528713206280955,0.85799580414139
5,R0_residual_level,0.07237808307778558,0.6869021857393082,-0.2257369775305288,0.30588209909007846
5,R1_level_change,0.1370752850623734,1.17023131480464,-0.16063131976518108,0.8642628740287028
5,R2_roe_shrinkage,0.13843856536349006,1.1707904288329853,-0.1639055855769167,0.8555548378351773
5,R3_confidence,0.12922023464467472,1.1265747379659028,-0.15393817131123044,0.8457963120370477
