specification,groups,months,full_history_group_spearman,adjacent_pair_hit_ratio,adjacent_pairs_in_order,mean_monthly_group_spearman,positive_monthly_group_spearman_ratio
R0_residual_level,10,171,0.9757575757575757,0.7777777777777778,7,0.17200070884281407,0.695906432748538
R1_level_change,10,171,0.9757575757575757,0.7777777777777778,7,0.23026758816232495,0.7017543859649122
R2_roe_shrinkage,10,171,0.9757575757575757,0.7777777777777778,7,0.22473861421229838,0.6783625730994152
R3_confidence,10,171,0.9878787878787878,0.8888888888888888,8,0.2351586035796562,0.695906432748538
