specification,groups,months,full_history_group_spearman,adjacent_pair_hit_ratio,adjacent_pairs_in_order,mean_monthly_group_spearman,positive_monthly_group_spearman_ratio
pbroe_common,10,172,0.8787878787878788,0.6666666666666666,6,0.10958421423537702,0.6337209302325582
revision_common,10,172,0.9515151515151514,0.7777777777777778,7,0.15581395348837207,0.622093023255814
combined_50_50,10,172,0.9515151515151514,0.7777777777777778,7,0.19105003523608174,0.6918604651162791
