signal_date,net_return,ending_nav,group
20120330,0.06478869799134368,1.0647886979913437,1
20120330,0.05180311791983594,1.051803117919836,2
20120330,0.050320603874505654,1.0503206038745057,3
20120330,0.05967276351528228,1.0596727635152823,4
20120330,0.06185873286584731,1.0618587328658473,5
20120330,0.05517316977190889,1.055173169771909,6
20120330,0.056482197589749594,1.0564821975897496,7
20120330,0.05201665505777742,1.0520166550577774,8
20120330,0.06292868983246946,1.0629286898324695,9
20120330,0.05638074404421012,1.0563807440442101,10
20120427,0.011192539400596502,1.0767063874469216,1
20120427,0.017020092546677912,1.069704904327716,2
20120427,0.02514530205728205,1.076731232715917,3
20120427,0.020604446979933355,1.0815067347872123,4
20120427,0.021118242067897475,1.0842833226284192,5
20120427,0.010874119053700282,1.0666472484422789,6
20120427,0.02548452128540646,1.0834061406418785,7
20120427,0.018194685618628803,1.071157767362115,8
20120427,0.03163467792503405,1.096554096592598,9
20120427,0.024634185655224128,1.082403823415599,10
20120531,-0.07320588164117592,0.9978851470851842,1
20120531,-0.058196668465997026,1.007451642654105,2
20120531,-0.03221781997028128,1.0420412997038966,3
20120531,-0.04836251339729869,1.029202350836797,4
20120531,-0.02746819445783122,1.0545000174750785,5
20120531,-0.04718130944037324,1.016321434549801,6
20120531,-0.03481129339752986,1.0456913716113085,7
20120531,-0.042070829970082935,1.02609327106029,8
20120531,-0.03590940461270131,1.0571774918583392,9
20120531,-0.047965485979463485,1.0304857979994404,10
20120629,-0.11007190997015714,0.8880460230146667,1
20120629,-0.10583954117212024,0.9008234230424956,2
20120629,-0.0903120606581912,0.9479324026366979,3
20120629,-0.0918237939534089,0.9346970862371948,4
20120629,-0.06778932904751012,0.9830161688098552,5
20120629,-0.07480918210487997,0.9402912592754722,6
20120629,-0.08911127842681943,0.9525084766471306,7
20120629,-0.09802367021721337,0.9255118426457744,8
20120629,-0.09438627498583885,0.9573944464029586,9
20120629,-0.11973497905261676,0.9071006025619583,10
20120731,0.008319974590776269,0.8954345433615887,1
20120731,0.011583950537222831,0.9112585170177917,2
20120731,0.011562143080050546,0.9588925327061995,3
20120731,0.011738546780457826,0.9456690717095478,4
20120731,0.006196112547720123,0.9891070476280297,5
20120731,0.014974242189643938,0.9543714083206684,6
20120731,0.02554912374511753,0.9768442335852615,7
20120731,0.03069441331180056,0.9539198856689098,8
20120731,0.004364924198532849,0.9615734005896037,9
20120731,0.02227624004211215,0.9273073933269731,10
20120831,0.004266998305684666,0.8992553610409642,1
20120831,0.010352727821014485,0.9206925284190582,2
20120831,0.004141005985410118,0.9628633124235009,3
20120831,0.016539214219786658,0.9613096950675788,4
20120831,0.008217838606675354,0.9972353697101619,5
20120831,-0.0004414175786240371,0.9539501320044994,6
20120831,0.012793279948448477,0.9893412753315453,7
20120831,0.03153295998230243,0.9839998032500301,8
20120831,0.01982102115094353,0.980632767300875,9
20120831,0.030321322161948272,0.9554245795431968,10
20120928,-0.012715424417203525,0.8878209474658827,1
20120928,-0.00854012038380858,0.9128297033898863,2
20120928,-0.016054522099993362,0.947405002094925,3
20120928,-0.018364483829035883,0.9436557387178148,4
20120928,-0.004866062835327201,0.9923827597395415,5
20120928,-0.00431926789596504,0.9498297658249808,6
20120928,-0.018762509378149717,0.9707787503749465,7
20120928,-0.009337414697574431,0.974811789024753,8
20120928,-0.0158161113776647,0.9651229702326568,9
20120928,-0.01179119792391603,0.9441589792244287,10
20121031,-0.12454016972207216,0.7772515759856707,1
20121031,-0.12241438522016557,0.8010862164387074,2
20121031,-0.11999917223940981,0.8337171860680577,3
20121031,-0.12708070371923896,0.8237353033728566,4
20121031,-0.12421035941428848,0.8691185404757495,5
20121031,-0.11183542565408977,0.8436051496650196,6
20121031,-0.11181886728661572,0.8622273701221037,7
20121031,-0.12300877157068901,0.8549013883441924,8
20121031,-0.11666272597407645,0.8525290936251176,9
20121031,-0.1009808059569054,0.8488170445508968,10
20121130,0.16384665603460657,0.9046016476085509,1
20121130,0.1548074890544553,0.9251003621217176,2
20121130,0.1571301806414338,0.9647193181187994,3
20121130,0.16588085429307786,0.9603772192077137,4
20121130,0.16964762217651108,1.0165624342569803,5
20121130,0.18071490442341642,0.9960571736578356,6
20121130,0.18805290677239683,1.0243717333722846,7
20121130,0.1990884048564896,1.025102342059236,8
20121130,0.21054709680478112,1.0320266192294976,9
20121130,0.2049184824773198,1.0227553452211502,10
20121231,0.05440257902004264,0.9538143102242358,1
20121231,0.055745609574638255,0.9766706457259113,2
20121231,0.06414896902750189,1.026605067777035,3
20121231,0.044420192258568525,1.0030373599256697,4
20121231,0.04984655368522484,1.0672345682105537,5
20121231,0.0631120548557218,1.0589203886411642,6
20121231,0.060258892249213325,1.086099239276705,7
20121231,0.06169305804905334,1.088344040354117,8
20121231,0.04299919185128398,1.0764029298253788,9
20121231,0.04047428997587632,1.0641506416380084,10
20130131,0.030531610152164212,0.9829357969015575,1
20130131,0.054444895131938065,1.0298453766109008,2
20130131,0.04733354086871411,1.0751979207086884,3
20130131,0.04750254128073306,1.0506841835216563,4
20130131,0.03609552404952887,1.1057569592338863,5
20130131,0.04698354290209128,1.1086722201507855,6
20130131,0.05231803001085611,1.1429218118719517,7
20130131,0.050202233257432116,1.1429813417323105,8
20130131,0.046605982391159095,1.1265697458186124,9
20130131,0.04641028235880662,1.1135381733887337,10
20130228,-0.05205110892115028,0.9317728986745369,1
20130228,-0.038155061884479924,0.9905515625348663,2
20130228,-0.03726327794262818,1.0351325217459846,3
20130228,-0.020868601536101816,1.0287578739554584,4
20130228,-0.03649875298021976,1.0653982091226497,5
20130228,-0.023666026228013615,1.082434354310427,6
20130228,-0.019853574479299585,1.1202307285559359,7
20130228,-0.04559551604091738,1.0908665176308856,8
20130228,-0.03318676380327745,1.0891825417562118,9
20130228,-0.053440851299774716,1.0540297454480436,10
20130329,-0.02979552427574539,0.9040102366525982,1
20130329,-0.030874792765432812,0.9599684883181266,2
20130329,-0.025466661744506958,1.008771151953941,3
20130329,-0.011555566957876962,1.016869993459523,4
20130329,-0.027858698100048374,1.0357176020583696,5
20130329,-0.030457365456039165,1.0494662555990224,6
20130329,-0.02531676988374354,1.0918701049843869,7
20130329,-0.019272518934522864,1.0698427720148074,8
20130329,-0.037837125562216634,1.0479710051636077,9
20130329,-0.014529146367180723,1.0387155930010668,10
20130426,0.15698097909679132,1.045922648715845,1
20130426,0.14449114133301633,1.098675430838943,2
20130426,0.1431543389871499,1.1531811194012132,3
20130426,0.14170227032710914,1.16096278016025,4
20130426,0.1545497329894765,1.1957874809089915,5
20130426,0.16736969163343463,1.225115099178326,6
20130426,0.15466909786581118,1.2607486691089704,7
20130426,0.1504000208186278,1.230747147198493,8
20130426,0.16573820384219773,1.2216598372381267,9
20130426,0.15379320546289743,1.1984629936129951,10
20130531,-0.14877023856356375,0.8903204867473543,1
20130531,-0.15101808763578073,0.9327555683412284,2
20130531,-0.14325057196174662,0.9879872644715021,3
20130531,-0.12663835739868978,1.0139403606797397,4
20130531,-0.13722190650161414,1.031699243007897,5
20130531,-0.15575389281959784,1.034298653329234,6
20130531,-0.13212061333647906,1.0941777816831435,7
20130531,-0.16009846845122877,1.0337064138812952,8
20130531,-0.15758783194589998,1.0291411121123892,9
20130531,-0.15754602704297715,1.0096499104112349,10
20130628,0.07098292095518577,0.9535180354829242,1
20130628,0.06345812031401943,0.9919464834205977,2
20130628,0.08909601572638648,1.0760129933243245,3
20130628,0.06522406349700338,1.0800736711468895,4
20130628,0.08022941404541228,1.114471868745516,5
20130628,0.07522649974214635,1.112105320707208,6
20130628,0.0865599800193817,1.1888897886032879,7
20130628,0.05118337879132406,1.0866150008220028,8
20130628,0.06943332850480366,1.1005978050274878,9
20130628,0.0812678790563861,1.0917020172198262,10
20130731,0.07707351025383025,1.0270090175679294,1
20130731,0.04396689425400924,1.0355592895627874,2
20130731,0.059865665833650716,1.1404292276153447,3
20130731,0.06772001729548704,1.153216278837357,4
20130731,0.05149712202484169,1.1718639625635572,5
20130731,0.0603102648889724,1.1791766871834954,6
20130731,0.04661475683175431,1.2443095969987858,7
20130731,0.07942040319774257,1.1729144023080016,8
20130731,0.08402050747037615,1.1930705911266795,9
20130731,0.10169830059525542,1.2027262571274948,10
20130830,0.08133154902688156,1.1105372518313048,1
20130830,0.08565976165168099,1.1242650514829198,2
20130830,0.07111197878370756,1.221527406653847,3
20130830,0.06850812046990207,1.2322209585957988,4
20130830,0.0689229004279055,1.252632225770376,5
20130830,0.05935328345104263,1.2491646953367588,6
20130830,0.05669195574104258,1.3148519415999955,7
20130830,0.07208946946423422,1.2574691792973447,8
20130830,0.06203248351798618,1.2670797229065391,9
20130830,0.05384025653836244,1.2674813473566637,10
20130930,-0.036265525027392,1.0702630353311655,1
20130930,-0.053640708547358584,1.0639586775263434,2
20130930,-0.047434122251018396,1.163585326313659,3
20130930,-0.01886761974274187,1.2089718821099764,4
20130930,-0.05024847491306972,1.1896893667984505,5
20130930,-0.03803179329995243,1.2016567218461132,6
20130930,-0.033485020526250575,1.2708240973465392,7
20130930,-0.03684581531524622,1.2111367021523405,8
20130930,-0.0008355946977425255,1.2660209578084614,9
20130930,-0.01948536325065575,1.2427840128899885,10
20131031,0.06900362762455847,1.144115067281487,1
20131031,0.043457587114168916,1.1101957544408205,2
20131031,0.05680012206824547,1.2296771148850942,3
20131031,0.05010055188162599,1.2695420406130542,4
20131031,0.07618262541305776,1.2803230261871548,5
20131031,0.07123874415324849,1.2872612376137398,6
20131031,0.06407535923833763,1.3522526079127548,7
20131031,0.07696120325146505,1.3043472400519958,8
20131031,0.08565145954492093,1.3744575006592148,9
20131031,0.07737418419969311,1.3389434120237722,10
20131129,-0.010768483194919964,1.1317946834064117,1
20131129,-0.000956288134643879,1.1091340874137168,2
20131129,-0.0110260812207289,1.2161185951410995,3
20131129,-0.0008002190518816565,1.268526128884991,4
20131129,0.014643772627750629,1.299071785472713,5
20131129,0.012993456753950472,1.3039872108357107,6
20131129,-0.0027296786345356594,1.3485613928604403,7
20131129,0.010874554408625059,1.318531435081681,8
20131129,0.01204882592630896,1.3910180998277673,9
20131129,0.0026883359076999014,1.342542941676694,10
20131231,0.020892487839916152,1.1554406900667618,1
20131231,0.020686655280158783,1.1320783619395178,2
20131231,0.018893508675139392,1.2390953423683964,3
20131231,0.04743193957301206,1.3286947835770508,4
20131231,0.03508898835095575,1.3446549002202202,5
20131231,0.03435741322100294,1.3487888382732962,6
20131231,0.039471651252678486,1.401791337852254,7
20131231,0.05063298680142592,1.3852926198314368,8
20131231,0.025752009680634957,1.4268396114004704,9
20131231,-0.009566352057000183,1.3296997032449742,10
20140130,0.04742943812157874,1.2102425927794376,1
20140130,0.02586310874504405,1.161357427722271,2
20140130,-0.00022315036396747256,1.2388188377917564,3
20140130,0.009535392551498045,1.3413644099195858,4
20140130,0.025900209513766592,1.3794817438596367,5
20140130,0.027095600478977966,1.3853350817656542,6
20140130,0.009138920660677563,1.414602197671711,7
20140130,0.03273900014019904,1.430645715106315,8
20140130,0.04209162511146114,1.486897609417722,9
20140130,0.05734838377984697,1.4059558321386156,10
20140228,-0.05396619924126467,1.1449303998872378,1
20140228,-0.04649334340483113,1.107362038019428,2
20140228,-0.05318833546681723,1.1729281258646758,3
20140228,-0.05497590066161706,1.267621693368818,4
20140228,-0.055149047680121854,1.303404639393664,5
20140228,-0.05712117805346051,1.306203109896413,6
20140228,-0.053600866370790756,1.3387782943064825,7
20140228,-0.05074114680060415,1.3580531108564502,8
20140228,-0.03403485059385569,1.4362912714328286,9
20140228,-0.0030320022802377,1.401692970849658,10
20140331,-0.02519087129710118,1.1160886055395398,1
20140331,-0.030892682930170667,1.0731526536899862,2
20140331,-0.028317361332384716,1.139713896307649,3
20140331,-0.004273254948079841,1.2622048226953364,4
20140331,-0.01872081224795419,1.2790038458564628,5
20140331,-0.03053704077426278,1.2663155322700375,6
20140331,0.0003280977039676891,1.3392175443909662,7
20140331,-0.011351696675098943,1.3426369038733332,8
20140331,0.00057240308001405,1.437113408980394,9
20140331,-0.00920480019055503,1.3887906671244814,10
20140430,0.044734227574533714,1.1660159672130896,1
20140430,0.042705625144924264,1.1189823086417514,2
20140430,0.015697611795683075,1.157604682610032,3
20140430,0.03150477120391049,1.3019702968468254,4
20140430,0.03936003795205156,1.329345485770193,5
20140430,0.02935795763229665,1.3034919700155403,6
20140430,0.020039094355486675,1.36605425112554,7
20140430,0.03291200843789266,1.3868257809826383,8
20140430,0.028375571622800466,1.477892323447004,9
20140430,0.03216798479262328,1.433465264184679,10
20140530,0.05024281989770962,1.2245998974516306,1
20140530,0.03214238313573925,1.1549490667282287,2
20140530,0.04285579972197495,1.2072147570451879,3
20140530,0.06087090587830368,1.3812224082425357,4
20140530,0.04683905163867408,1.3916107676238212,5
20140530,0.051740153914274334,1.370934845170165,6
20140530,0.04724845277320955,1.4305982008954872,7
20140530,0.04726458908984399,1.4523735316599848,8
20140530,0.03678551596837898,1.5322573551107086,9
20140530,0.052562249194729294,1.5088114226127425,10
20140630,0.07489948978230898,1.3163218049582257,1
20140630,0.05863908502883208,1.2226742232560757,2
20140630,0.0414480625920286,1.2572514698572175,3
20140630,0.03554380308648497,1.430316305539749,4
20140630,0.04363169179513804,1.452329099735579,5
20140630,0.04403103780518958,1.4312985291663043,6
20140630,0.06121329875696335,1.5181698359680769,7
20140630,0.06612432008743241,1.5484107439539843,8
20140630,0.055226766755827716,1.6168789746713093,9
20140630,0.07011653604507351,1.6146040531115875,10
20140731,0.05054752061908885,1.382858608535708,1
20140731,0.057986748529215815,1.29357312597318,2
20140731,0.06523620991923851,1.339269790666094,3
20140731,0.05041007535599884,1.5024186582849215,4
20140731,0.059805867465573925,1.5391869013907613,5
20140731,0.03692614750293788,1.4841508697750374,6
20140731,0.06806288648015268,1.621500857171164,7
20140731,0.04458486803576922,1.6174464326383398,8
20140731,0.055871437572762694,1.70721632736737,9
20140731,0.05550408700136633,1.7042211769482518,10
20140829,0.14565941430018392,1.5842849835149864,1
20140829,0.13093294442448777,1.4629444641852372,2
20140829,0.11297073965556104,1.490568089515991,3
20140829,0.12383395301144251,1.688469099818491,4
20140829,0.1049840870307226,1.7007770330029173,5
20140829,0.10746155461555906,1.643640029525097,6
20140829,0.1106726210774771,1.8009566071136724,7
20140829,0.10854973675167479,1.7930198171111669,8
20140829,0.12010060241751641,1.9122540367412109,9
20140829,0.12553806144454405,1.9181657997750745,10
20140930,0.010420478667854116,1.6007939913895057,1
20140930,0.009783576683272122,1.4772572935339618,2
20140930,0.026162819491246214,1.5295655533814094,3
20140930,0.010882325326140974,1.7068435698658524,4
20140930,0.008465238087731919,1.715174515521433,5
20140930,0.004648395880681111,1.651280319067664,6
20140930,0.001997709898003297,1.804554395953578,7
20140930,0.011684207728851925,1.8139698331162417,8
20140930,0.02191381047399643,1.9541588092804925,9
20140930,0.021691558068204442,1.9597738046053395,10
20141031,0.05760118674351333,1.6930016250254267,1
20141031,0.046221918255048955,1.5455389593973634,2
20141031,0.05358272868478897,1.6115238494338446,3
20141031,0.02787391931656824,1.7544199898182966,4
