specification,portfolio,zero_investment,months,cumulative_return,compound_annual_return,arithmetic_annual_return,annualized_volatility,sharpe_zero_rf,maximum_drawdown,calmar,positive_month_ratio
R0_residual_level,G1,False,171,1.0859960428649704,0.052950520298420845,0.09085320430410136,0.28233793355103476,0.3217888689678284,-0.6395122713053126,0.08279828656038639,0.5263157894736842
R0_residual_level,G2,False,171,0.9793253688288202,0.04907907326404737,0.08767562781798821,0.28312443000008225,0.30967171507581576,-0.6744465206971451,0.07276940685128976,0.5380116959064327
R0_residual_level,G3,False,171,1.5432572035803438,0.06769802882071696,0.10416007254919037,0.2802175796908867,0.3717114131957435,-0.5986675625765013,0.11308117067402679,0.5321637426900585
R0_residual_level,G4,False,171,1.8617245056611522,0.07657442295561045,0.11235612799289671,0.27955917669117125,0.40190463186624853,-0.582511539961873,0.13145563255385886,0.5380116959064327
R0_residual_level,G5,False,171,2.291386518087156,0.08719460903771847,0.1208626965117941,0.27443263256713113,0.44040934702701184,-0.5819619000348539,0.14982872423864235,0.5497076023391813
R0_residual_level,G6,False,171,2.733803637063401,0.09685944846908634,0.13075255842678263,0.2795842280760126,0.4676678628353599,-0.5337152141951387,0.18148152028072462,0.5321637426900585
R0_residual_level,G7,False,171,2.948503033420791,0.1011713679838322,0.13524323479675204,0.28112403188833535,0.48108030426396176,-0.49612943261270925,0.20392131837662822,0.543859649122807
R0_residual_level,G8,False,171,3.6226922457076,0.11342071479270777,0.14580012681135646,0.2784647682994021,0.5235855426227344,-0.4498557895712546,0.25212683135812475,0.5555555555555556
R0_residual_level,G9,False,171,5.077873116092208,0.13501111449575176,0.16477511956477817,0.279041406577147,0.590504189274227,-0.41387998639554124,0.3262083669992269,0.5614035087719298
R0_residual_level,G10,False,171,5.095556489221776,0.13524254040852668,0.16440429171521256,0.2775093610760797,0.5924279133421406,-0.48518144596183843,0.27874631549526335,0.543859649122807
R0_residual_level,G10-G1,True,171,1.632521396326608,0.07028584846570207,0.07355108741111123,0.10547043162407271,0.6973621542885942,-0.2261251072769649,0.3108272642171213,0.6140350877192983
R1_level_change,G1,False,171,-0.06799022548208344,-0.004929003741427795,0.03773454878539784,0.2905670106472704,0.12986522007897566,-0.7466825653681405,-0.006601203737759197,0.5029239766081871
R1_level_change,G2,False,171,0.9374282605226114,0.04750519282917476,0.08535712279114248,0.28069908451787773,0.3040876422441844,-0.6603280623744272,0.07194180519657786,0.5321637426900585
R1_level_change,G3,False,171,0.91331172364428,0.046584834634564753,0.08371562021366524,0.27914704803765733,0.2998979240589063,-0.6464809213723093,0.07205910196959468,0.5087719298245614
R1_level_change,G4,False,171,1.7939236455959184,0.07476446916274826,0.10996977945874453,0.27696116057237824,0.39705848730369586,-0.5828145358212281,0.12828175099888284,0.5263157894736842
R1_level_change,G5,False,171,2.298273004573862,0.08735408276814938,0.12358229960001516,0.2846618862477337,0.4341371485625046,-0.5464610129372961,0.15985419032660772,0.5380116959064327
R1_level_change,G6,False,171,3.1338974675117006,0.10472278720641892,0.13725787923033655,0.2757748844901189,0.4977171125793892,-0.5279736272919033,0.19834851930685607,0.5497076023391813
R1_level_change,G7,False,171,2.630604867741062,0.09470416620934019,0.12666123243599242,0.27132963037834035,0.46681680972099054,-0.4907118995564337,0.1929934169009261,0.5263157894736842
R1_level_change,G8,False,171,4.430519098478819,0.1260762884243296,0.1567830980019375,0.2784186767773036,0.5631199020723106,-0.45154696883097656,0.2792096883093519,0.5380116959064327
R1_level_change,G9,False,171,4.67733690044816,0.12959414525446067,0.1596763642475843,0.27712334860265886,0.576192388886471,-0.4377557237890709,0.29604214910712295,0.5614035087719298
R1_level_change,G10,False,171,5.99100771101147,0.1462146357273566,0.17557763319778907,0.2825112244906872,0.621489052388348,-0.4600068861789285,0.3178531455080949,0.5380116959064327
R1_level_change,G10-G1,True,171,5.444100284519417,0.13968102770191937,0.1378430844123912,0.11722647139514288,1.1758699444919276,-0.16052499722995028,0.8701512543982657,0.6783625730994152
R2_roe_shrinkage,G1,False,171,-0.08078505009885639,-0.005893811265748505,0.037054559043081026,0.29181821787905365,0.12697822402040224,-0.7518922638555795,-0.007838637992531022,0.5087719298245614
R2_roe_shrinkage,G2,False,171,0.9599003114414579,0.04835325474627794,0.08571856752695109,0.27894447208415973,0.3072961686119706,-0.6381730365210477,0.0757682508961395,0.5321637426900585
R2_roe_shrinkage,G3,False,171,0.9171424981970007,0.046731746377310035,0.08375387092179154,0.2788854395831547,0.30031639890191836,-0.6536916842145587,0.07148897179785976,0.5029239766081871
R2_roe_shrinkage,G4,False,171,1.8532078543998738,0.07634927300141348,0.11184771955094538,0.27838504207359704,0.40177345276107196,-0.5837102124707085,0.13079996095707302,0.5321637426900585
R2_roe_shrinkage,G5,False,171,2.2911311448739733,0.08718868927162027,0.12304437439122506,0.283564948288633,0.43391954870946015,-0.555748528535311,0.15688514641938545,0.52046783625731
R2_roe_shrinkage,G6,False,171,3.2974326295291627,0.10773460924977063,0.13944281998224894,0.27355503652452035,0.5097432010532544,-0.5188955939841898,0.20762290236955294,0.5614035087719298
R2_roe_shrinkage,G7,False,171,2.533885836088818,0.09263186198189999,0.1251126684447514,0.272784641946048,0.4586499721985685,-0.5004736249205957,0.185088399007234,0.5321637426900585
R2_roe_shrinkage,G8,False,171,4.430341456366111,0.12607370340295487,0.15635555648085506,0.27670449239328787,0.5650633104236793,-0.45063249851522824,0.27977055320765876,0.5380116959064327
R2_roe_shrinkage,G9,False,171,4.476758111013291,0.1267464923287145,0.15728665361642002,0.27779315228086776,0.566200614827944,-0.4446731947550254,0.2850329046673036,0.5555555555555556
R2_roe_shrinkage,G10,False,171,6.053100836573279,0.14692612443130226,0.17626100170641465,0.282606485917591,0.6236976519987334,-0.44676789193327404,0.3288645560349401,0.5380116959064327
R2_roe_shrinkage,G10-G1,True,171,5.558132565401111,0.14108476803725534,0.1392064426633336,0.11833256383179137,1.1764001231412027,-0.16380170927773063,0.8613143822451935,0.6842105263157895
R3_confidence,G1,False,171,-0.017698463903746298,-0.001252334789437759,0.04108120312591106,0.28978051622742024,0.14176661585373967,-0.7426934108344303,-0.0016862069478046624,0.5146198830409356
R3_confidence,G2,False,171,0.7070954842410362,0.03824247936943714,0.07682386410637532,0.28209846867242605,0.27232995793246756,-0.6872730843896807,0.05564379027500782,0.5263157894736842
R3_confidence,G3,False,171,1.0132265695131646,0.050330072695381256,0.0871932174892744,0.2788013063882205,0.31274321709189223,-0.6425389595137776,0.0783299937695094,0.5029239766081871
R3_confidence,G4,False,171,1.9757856987165385,0.07953121263522256,0.11501037757425875,0.2794164474351765,0.41160918990261186,-0.5734165509531922,0.13869709987097087,0.5263157894736842
R3_confidence,G5,False,171,2.2176070739730127,0.0854663169828409,0.12129887193010727,0.282443791532417,0.4294619870098486,-0.5508919153400204,0.15514171583020883,0.5321637426900585
R3_confidence,G6,False,171,3.2969829064222926,0.10772647386466239,0.1393171228976922,0.27306713776809594,0.5101936616628259,-0.5183204956384105,0.20783757302897446,0.5614035087719298
R3_confidence,G7,False,171,2.4352096822964984,0.0904625484188184,0.12258455642366627,0.2708189638994461,0.45264391628490747,-0.49142554108588077,0.18408190225304,0.5380116959064327
R3_confidence,G8,False,171,4.00379180438922,0.11962768903316512,0.15061069645706468,0.2767171926775625,0.5442766132444825,-0.4428110846856278,0.2701551365140156,0.5555555555555556
