specification,period,months,mean_rank_ic,annualized_g10_g1
raw,2012-2016,58,0.014089592714303155,-0.02347405121055366
raw,2017-2021,60,0.048547092050966724,0.10919656139186473
raw,2022-2026,54,0.036393314134670604,-0.029443236497192063
neutralized,2012-2016,58,0.04883416408847112,0.10606563048671896
neutralized,2017-2021,60,0.022254850878407062,0.054834893549675405
neutralized,2022-2026,54,0.029661060344423545,0.06581819059270984
