signal_date,rows,pbroe_rank_ic,revision_rank_ic,combined_rank_ic,pbroe_revision_spearman
20120330,437,0.021435491817245526,0.04995338362764809,0.05224560989772376,0.008904134554696226
20120427,230,0.042532610007081695,-0.00835520458664817,0.024553715026900656,0.030120122492899186
20120531,202,0.14668306656524624,0.17304157336251946,0.21008857271787795,0.1330813426022668
20120629,379,-0.08158903230441976,0.17062364851415912,0.03496352802013714,-0.09842736787544534
20120731,505,0.02277202122978003,-0.1066242091791637,-0.06876758649980878,-0.13871485527851357
20120831,689,0.07167046457776086,-0.013751416955214937,0.05358681044986285,-0.09210302937974796
20120928,747,0.011104182414067285,0.07453445972643741,0.06188982733692542,-0.05100780694851932
20121031,812,0.07914805314550341,-0.029320497649196423,0.03973556551516786,-0.020528178710365337
20121130,790,0.2697869296831119,-0.05215573083193485,0.14877946579746917,-0.027087576479701194
20121231,799,-0.00848875361577666,0.14428614230468367,0.09099192725402425,0.018208648771355307
20130131,724,0.02085704035936199,0.05908116328990802,0.055898801131288034,0.010164326104784129
20130228,710,-0.027083882788693073,0.1731610407829451,0.08989310467707909,0.011848984374830378
20130329,468,-0.03380513392609222,0.0661044039911668,0.023579296927143834,0.08036000324142499
20130426,256,0.0007224436961570413,0.010149521180549953,0.006608705947161819,0.02256464405706778
20130531,196,0.09322419523987276,0.04263939020250735,0.10361147032689395,0.0013436693388600243
20130628,374,0.0008536109726507969,-0.07257335632163553,-0.04933741017256541,-0.09347274624906168
20130731,535,0.17576303151313138,0.028138889417219686,0.1582472572997654,-0.1322518515990945
20130830,696,-0.05982769600254536,-0.012622243110133977,-0.03777651487327398,-0.0741707240395173
20130930,728,0.13727161923425157,0.08138789911803786,0.16199603910386484,-0.016306371416038967
20131031,755,0.07731736130407403,-0.03553944547246631,0.037260482581806156,-0.007285247092617917
20131129,768,0.06633006821896681,0.12712451586608314,0.13736168828630707,-0.0073569010863862045
20131231,761,-0.013217639173675652,0.07550998464553171,0.05045014957982793,-0.04085188433338498
20140130,661,0.060457628359438555,-0.12162402154551234,-0.03238463100146297,-0.024031515603283933
20140228,637,0.16998565586957481,-0.015302806296677548,0.10006038371765703,-0.021577199806777657
20140331,440,0.16471666849040972,-0.039138327089340064,0.1005993167588764,-0.07411755051532384
20140430,248,-0.08745353880373243,-0.08233620225798928,-0.13013950279403516,0.0630986169460423
20140530,202,-0.15630508519844025,-0.03980976941791951,-0.11571286744058364,0.1066850717156082
20140630,334,0.13058208045509956,-0.10837412307841297,0.02321261065813195,0.054926762204981085
20140731,391,0.002526881286969328,-0.08691017076311096,-0.055755429720301175,0.04490600373290915
20140829,564,0.12449053224973135,-0.01384933891690582,0.07948696773508214,0.03525875434160474
20140930,567,0.008450709028712759,0.04824318333524385,0.0568557534195642,0.05880955537257014
20141031,613,0.035279276468987514,0.03473141124215795,0.05149334991982644,0.07283200036857851
20141128,613,0.037508900758548284,0.08114005783786812,0.06707267990185042,0.022086069581755297
20141231,623,0.13457493773128765,0.05484629387781021,0.12646898699400852,-0.02111182526828441
20150130,525,-0.08731620897238582,-0.05279266081774491,-0.08135034203733423,-0.03635350672368923
20150227,491,-0.016757476932866687,0.06541550756190469,0.03725243135019272,-0.06327531205296426
20150331,370,0.17951018049860415,0.019304771622494794,0.13197840554419396,0.04859409853134143
20150430,214,-0.03717623569050757,-0.09454002688639523,-0.08694894173802732,0.12514922275928791
20150529,161,0.08938640132669984,-0.007808193143667349,0.0386630718160472,0.1497986794270433
20150630,260,0.2273438839545969,0.03113918633473827,0.1876598226412276,0.07620169166601264
20150731,381,0.2035109669029472,0.0641845298261568,0.19951685449363488,0.03634696371358608
20150831,498,-0.0005616972054701372,-0.024785907721546614,-0.0180797151371338,-0.08024188212524438
20150930,550,-0.008737063327722847,-0.016561853497207242,-0.011134019445486391,-0.001962383112022273
20151030,585,0.0747941067882578,-0.04242120145230572,0.01820088600099638,-0.07094838070797072
20151130,647,0.11809911720736227,0.010437198352462608,0.09762093383367718,0.027205601309151752
20151231,646,0.12295554341306887,0.1437628050891036,0.1969302288707956,0.03574282162505157
20160129,571,0.09180597121384294,-0.061564630759885504,0.024731922544636874,-0.01395196453633806
20160229,585,0.07561627808259273,0.03416676360450153,0.080688998324232,-0.040417332738004345
20160331,493,0.1259137369457907,0.03317959103258913,0.10968587972001996,-0.06587281309410714
20160429,318,0.13696044008364378,0.0976358424667403,0.1755507358432376,-0.09895259199887989
20160531,260,-0.021575279142188136,0.11368845472583698,0.06727513654907766,0.05285706804823939
20160630,281,0.1636106277432927,-0.03145812355371934,0.10328781903889613,0.09704482446336678
20160729,319,0.026043249431105624,-0.05335967050930586,-0.01905068233724881,0.04215893960341589
20160831,448,0.011673876305705254,0.018569793502446866,0.02047807336843736,-0.018535660650305586
20160930,505,0.029964999966816248,0.0027447563636417184,0.020775248662073316,0.03628123179480008
20161031,552,0.027108825263782728,0.00895943849381336,0.020683721090123446,0.09210835480535329
20161130,583,0.03024865737213935,0.04908189969735249,0.055782050935894105,0.09993320595475896
20161230,601,0.09127525028861068,0.12430285182331757,0.13544109007904193,0.052536177469018834
20170126,490,0.09419163046659186,0.01322735876587513,0.08111997257045817,0.009374618271556183
20170228,465,0.11436247922789176,-0.012309933267147605,0.07245005685789738,-0.006725301786903525
20170331,432,0.051522160051205385,0.05117888584691909,0.08104279794104857,-0.011301383280095036
20170428,221,0.11997739103002263,-0.048253456894013724,0.0677839219559832,-0.011195752313012891
20170531,164,0.16107948010121925,0.08300076097856245,0.18290959335978357,0.020566277428801318
20170630,246,0.08473497803781313,0.053761232109640573,0.10167500822343266,0.160573043501693
20170731,358,-0.029494630681769315,-0.03760715885454803,-0.05754253720822122,-0.11386580053879555
20170831,519,0.038210089137245794,0.022273720085483662,0.04682292232755685,-0.12506740538253905
20170929,580,0.06390522048084239,0.11402123591337116,0.11175470014566971,-0.12288064345317648
20171031,641,0.06108158698512028,0.06542317055975776,0.08317963357977327,0.005106810668854356
20171130,724,-0.025254220248061524,0.18247112506597207,0.10799762563424851,0.007942787541247368
20171229,740,0.0740879709524791,0.04427251085382924,0.08707422710775846,-0.034909975572262775
20180131,645,0.0334315245824821,-0.043671236149375445,-0.005465049346266978,-0.032231293596895166
20180228,613,-0.05813605552960222,-0.10024176062438413,-0.10256789271630443,0.0004931982055448917
20180330,506,-0.08586280995726392,0.08626158123698408,-0.00919760785324464,-0.04994092721981104
20180427,201,0.1094373575306157,-0.09453121967771277,0.004458617682449777,0.06906656276293537
20180531,127,0.10521184851893514,-0.16926253880212055,-0.033996688280420795,0.0789393636028219
20180629,309,0.033213482414860426,0.10623489353053789,0.09874059360135176,-0.06496924685310361
20180731,651,-0.16502756035683902,-0.03283528610812848,-0.14916077501862857,-0.1122849202923701
20180831,897,-0.034443300898959445,0.12227753803740325,0.06357064842946417,-0.12440256475997734
20180928,933,0.045098502310864236,0.023071832623263077,0.042673466032083926,-0.12723579655300093
20181031,959,0.04541875006888234,-0.1091884583854181,-0.04626694337866216,-0.08114723487944536
20181130,957,-0.004051498702365999,0.05008773019773593,0.021797412613436623,-0.06923450365701062
20181228,960,0.02810551643125729,0.04609025118682233,0.05365617010420663,-0.1038028477027291
20190131,755,0.08998627224032407,-0.12935773766875652,-0.024863181431502755,-0.042759277306139036
20190228,735,0.04573028044743781,0.04985326515271322,0.06999993310582647,0.00854102582803184
20190329,579,0.06722417787586031,0.12756261203148075,0.12443013557127595,0.07276687535925636
20190430,148,-0.09593952353247852,0.1775075121625506,0.05351324090222347,0.14676645679227301
20190531,136,0.08204565408252855,0.08232452218287949,0.12405477301140733,-0.0423906822783175
20190628,354,-0.023137493264430563,0.06471212502867325,0.009799153897372914,-0.06832402796217295
20190731,677,-0.1111927505903444,-0.05113748955315186,-0.1253426151163871,-0.07040481097166598
20190830,915,0.021643097382270948,-0.0919317321158674,-0.055205766386970175,-0.036732917562753396
20190930,951,-0.05122472768937222,0.08580443000967837,0.023513841866438408,-0.029473867700813956
20191031,973,0.03844034785092655,-0.050214875691080144,0.0031745263258125475,-0.05319155016387671
20191129,934,0.041659141872950306,-0.05001913565116539,-0.012652893767242074,-0.05927572928511588
20191231,939,-0.10986426946825785,0.07815811827373036,-0.02908838317544831,-0.023332220790512417
20200123,931,-0.10952901014176586,0.08827942222952832,-0.015053686632603055,-0.042354542028842423
20200228,822,0.11002039347795681,-0.01824139795757798,0.06427914513440709,-0.07006127374626896
20200331,690,-0.1334451430073255,0.1530681868636567,0.010517038912056003,-0.13482461117388805
20200430,170,-0.13510400720007035,-0.007883793373711624,-0.0977950628122641,0.012902243387222626
20200529,112,0.005071955071955072,0.037983631146486924,0.037128772644319005,0.20321465790844584
20200630,299,0.0561179571976187,0.024885920499158325,0.06217379041413104,0.08948753538063094
20200731,715,0.0763004502205468,-0.03073889327226455,0.025619099115560883,-0.06460195262061649
20200831,964,0.05725336750762833,0.0822510360498085,0.0982472941535661,-0.062490578033693824
20200930,996,0.02058496084493246,0.05506742210105417,0.05803199174174061,-0.03815942396834298
20201030,1007,0.13971940753821227,0.005818874886616472,0.10756879538730056,-0.04545625476431425
20201130,1011,-0.09230322349673938,0.25775793850336876,0.11047464985332361,-0.045802371464055705
20201231,1030,-0.051878483312701,0.21065968703309004,0.11964601560191258,-0.05531378440344169
20210129,871,0.26720886774118974,-0.16360648372460362,0.07853754820012875,-0.0749780100929968
20210226,735,0.08237299462426187,-0.0052198024868416425,0.06674303671379093,-0.0676063161403754
20210331,612,-0.10129932503815849,0.19942924222193387,0.05952707208567457,-0.08442981073159808
20210430,143,-0.19203087760491164,0.03013985283723706,-0.13745306060335608,0.1053723806614489
20210531,105,-0.12525338738930972,0.04748245319530115,-0.039162025514186904,0.10648510519847865
20210630,282,-0.11713700882161708,0.17735095705469303,0.04786388542124903,0.0017445505448240829
20210730,665,0.08659770239867928,0.0807153132039159,0.12149160341751683,-0.09057874678407737
20210831,962,0.10719940324913343,-0.10095345951255988,0.003234927177967762,-0.046049994885825236
20210930,986,-0.102648271722516,-0.060424753882609095,-0.11146640229498553,-0.04143626217110668
20211029,998,0.006152672414491965,-0.14308027689836622,-0.08830793919978558,-0.01017313153466086
20211130,1023,0.14586825283352575,-0.17767480292034069,-0.02349415705907184,0.00962673754087752
20211231,1043,0.25650585773801177,-0.0074981857180255055,0.16823221981391107,0.030040475066011138
20220128,885,0.12006074317522111,0.13701011888807432,0.171501280871083,-0.07459074331057243
20220228,800,0.10580061515213665,0.06668369208465555,0.12323879660509603,-0.0742455971202377
20220331,658,0.06003881566275379,0.048435739044695766,0.08317102557208769,-0.08951461697969551
20220429,209,-0.15933676827672144,-0.06735768416345986,-0.1587279679226298,0.09744154501066664
20220531,127,-0.07601599997664693,0.02232119381249455,-0.048629512033250874,0.14667563723823174
20220630,390,-0.019689119170994526,-0.048092819793525574,-0.03511801083937454,0.05745801639989312
20220729,777,0.013811287354105382,0.06550812136196459,0.06605993638123014,-0.13874416742261683
20220831,1226,-0.09371451680182676,0.12020787413896845,0.022884643034040027,-0.12615192885495138
20220930,1292,-0.08630026685685967,0.022234148697126338,-0.04839065359272138,-0.1218706209671021
20221031,1316,0.19381704599904215,-0.1936620410548844,-0.005261693610843274,-0.10948133833134631
20221130,1349,-0.04535614838249472,-0.10545168231093767,-0.10839967883292213,-0.07270555388242017
20221230,1380,0.09887918119738154,-0.07011385667120022,0.021762500316890962,-0.08139798082860206
20230131,1062,0.138419826646192,0.011950572955029869,0.10628240267571774,-0.09076407830362063
20230228,997,0.03635856305375265,-0.0419841843664104,0.00783087753384734,-0.06777086370499934
20230331,778,-0.01898008864484537,0.0918151911994607,0.043461643715520464,-0.08928339423734366
20230428,265,-0.11391321928663199,-0.09888336636247452,-0.1357369856874544,0.08120263943224941
20230531,79,-0.15306718597857838,0.040849874879110085,-0.11447143448795519,0.055046880574800804
20230630,345,0.0756883577508928,0.06688971423019592,0.11092842455160815,0.0032683059661687106
20230731,770,0.0532220255292819,0.07069097122265916,0.09360529374278126,-0.06751290995893015
20230831,1374,0.07018229153203799,0.037899882247871226,0.07695443175558689,-0.0791005474058816
20230928,1476,-0.03638763272935847,-0.07320872826499608,-0.08425204545745892,-0.06135738156050618
20231031,1493,-0.016774940732764716,-0.011137440173276726,-0.023825114734238716,-0.040301153069718904
20231130,1447,0.1125746561332233,0.10838632989039754,0.15453011579081907,-0.004481540981484587
20231229,1478,0.138399547760202,0.1318771544466879,0.1967913005324817,-0.06830962366814299
20240131,1148,-0.006970072794116254,0.09509205811560491,0.05977887413779866,-0.1379366814943721
20240229,793,-0.006969857715201895,0.09854244053872503,0.06880336921059432,-0.07004690138624359
20240329,680,0.039365006106447685,0.0830437635433592,0.08632880376845596,-0.04210159179871297
20240430,223,0.12238362990143524,0.026678786173142736,0.09421058029922444,0.10669267485031475
20240531,87,-0.11595100969599767,0.046783786296334506,-0.07833433650467175,0.12218652622027282
20240628,209,0.02209895367790105,0.0047761117587863,0.003578680528399992,-0.05655621733689951
20240731,545,-0.00927379454737027,0.0964803849180086,0.056208912747485705,-0.1319139888656116
20240830,977,0.08663833166652699,-0.09454335742205959,0.003073158406251102,-0.11979130809251991
20240930,1248,-0.0926734911113494,0.11040954663623799,0.010174690274657502,-0.10414251372700471
20241031,1291,0.039532535189028176,-0.0923495582018628,-0.041480721774967214,-0.054533649801158754
20241129,1256,0.06496183382051682,0.13991230973358584,0.14063613241851888,0.020522966848955614
20241231,1234,-0.08941554850915816,0.1841437605072802,0.06750399564212066,0.011601442647573432
20250127,1114,-0.09596444586508061,-0.039031099467213747,-0.09677321248902576,0.006488449760092759
20250228,723,0.07560951930175791,-0.002856100376944597,0.06388303822035427,0.020605585823425816
20250331,601,-0.14690314242186533,0.09447822184703852,-0.027478046252777406,0.03313158402869706
20250430,221,0.1410241600343697,-0.1467012699818932,-0.009971540073987536,0.06593288233900273
20250530,88,-0.030062343700468463,0.05089874817932117,0.00395390922323407,0.19161467123513226
20250630,272,0.1096241505401479,0.025546179616978717,0.11923341027385675,-0.08961411936601851
20250731,598,-9.175865184827417e-05,0.07689979413629916,0.05397547169085337,-0.08838201692517313
20250829,1059,0.09901800743104465,0.03656099462179714,0.1013680603049447,-0.06658634837568056
20250930,1285,0.13798550137859603,-0.08718364047596076,0.043609533336701506,-0.08798436160049662
20251031,1185,0.08943623542579464,-0.10175285572664364,-0.005042965655663178,-0.015741915012311043
20251128,1179,0.023291025227054098,0.13056177318168408,0.10196049237850446,0.026691973164289038
20251231,1168,-0.04264855688659976,0.06451373307178701,0.013967914205458525,0.04412138180927534
20260130,987,0.11398362515353616,0.044796660077226796,0.1176950990348888,-0.014387547507713504
20260227,626,0.18760948265217928,0.0002966117242366051,0.13695031309807598,0.02458083880920593
20260331,534,0.03166895890188953,0.16213211968845315,0.12936129890895717,-0.03535282902435559
20260430,182,-0.07241440743840888,0.004144781192450071,-0.05645290922099066,-0.004997239794261041
20260529,67,-0.0478888977572033,0.00191720159362099,-0.04060741512592493,0.17416578227050677
20260630,225,0.38310745446362854,-0.06050252911540332,0.2298210949327938,-0.018082615488996753
