specification,portfolio,zero_investment,months,cumulative_return,compound_annual_return,arithmetic_annual_return,annualized_volatility,sharpe_zero_rf,maximum_drawdown,calmar,positive_month_ratio
pbroe_common,G1,False,172,0.6346586445651339,0.03488063668835317,0.073911430488808,0.28433524160682055,0.2599446697888153,-0.6617584757747152,0.052709013885343436,0.5058139534883721
pbroe_common,G2,False,172,0.697480389071975,0.03760699440794202,0.08097311204503316,0.29869543969503165,0.27108921424346744,-0.6824910861388214,0.055102542980748334,0.4941860465116279
pbroe_common,G3,False,172,1.331984505596929,0.0608531704369315,0.10066276571177657,0.29088883099467094,0.3460523574162966,-0.6478722027921742,0.09392773786970471,0.5348837209302325
pbroe_common,G4,False,172,1.2783994490279516,0.05913402706343218,0.09482816168493112,0.274748304149234,0.34514557597932854,-0.6164580791087091,0.09592546365671722,0.5174418604651163
pbroe_common,G5,False,172,2.5978893195673223,0.09343767205794351,0.1282259751658234,0.28177197470569326,0.4550700093568694,-0.6381180973504812,0.14642692699972687,0.563953488372093
pbroe_common,G6,False,172,4.157747033156622,0.12126047745715263,0.15468950185520072,0.2864737086756089,0.539978005557099,-0.5204317491517281,0.23299976923928986,0.5406976744186046
pbroe_common,G7,False,172,2.4495576189286252,0.09023062405699922,0.12497974139702406,0.2799741343033493,0.4463974563507702,-0.5298101947415113,0.17030745152237356,0.5465116279069767
pbroe_common,G8,False,172,3.591212491859557,0.11219510911741004,0.1453099859337,0.28122890758623525,0.5166964775452272,-0.4626534279639729,0.24250357251464424,0.563953488372093
pbroe_common,G9,False,172,3.408176980828287,0.10904279282976526,0.14197447196048804,0.2811447750667511,0.504987054896466,-0.4708994989194444,0.2315627709946214,0.5581395348837209
pbroe_common,G10,False,172,4.563241017329067,0.12719646785236538,0.15594907437620806,0.2733533193091286,0.5705036791590924,-0.4483547017938043,0.283696072202366,0.5581395348837209
pbroe_common,G10-G1,True,172,1.7646198227907397,0.07352403766294868,0.08203764388740008,0.14882269808019524,0.5512441646716613,-0.3385119141032533,0.21719778418352,0.6337209302325582
revision_common,G1,False,172,0.2992157634534074,0.01843016013592247,0.05980242505561213,0.29205044617912873,0.2047674497265873,-0.7208298683858335,0.025567975113452827,0.5174418604651163
revision_common,G2,False,172,0.6367961314763924,0.03497498963284196,0.07780818137551769,0.29905761985402524,0.26017789285388243,-0.6732348910983319,0.05195064916463688,0.5116279069767442
revision_common,G3,False,172,1.9825834293296412,0.07922279968260204,0.11531854162599948,0.2819768374677784,0.40896458965065513,-0.5964514181337814,0.13282355825471892,0.4883720930232558
revision_common,G4,False,172,0.8212796758358187,0.04271545867184523,0.08016918712161256,0.27909946287032306,0.28724235545684756,-0.6124064979003059,0.0697501721786089,0.5290697674418605
revision_common,G5,False,172,1.5107466483809193,0.06633392170845487,0.10303625799215245,0.2823068724381931,0.36497963050726195,-0.6472113189809416,0.1024919060638496,0.5232558139534884
revision_common,G6,False,172,2.1880116838665726,0.08424966254831534,0.11957775829473764,0.2819432013490171,0.4241200274473456,-0.5478838542601446,0.15377285147795605,0.5290697674418605
revision_common,G7,False,172,2.005156089856956,0.0797906449939989,0.11679130711062813,0.28578159779649936,0.4086732946107796,-0.6029796789781842,0.13232725376286808,0.5174418604651163
revision_common,G8,False,172,3.7954666331981146,0.11557771052178212,0.14240594479664517,0.25722167539578705,0.5536311999271644,-0.49373632044137206,0.2340879245392809,0.5813953488372093
revision_common,G9,False,172,3.9840475333197247,0.11858379627124749,0.1487077058948428,0.27271377673753644,0.5452885720473197,-0.521024644662127,0.22759728831665244,0.5465116279069767
revision_common,G10,False,172,9.441180661439576,0.17781085944799124,0.20609514470128815,0.2913953068454583,0.7072699520537948,-0.48237963563801145,0.3686118698041899,0.6046511627906976
revision_common,G10-G1,True,172,6.073680487845263,0.14624535504839864,0.146292719645676,0.1360439907534379,1.0753339330570844,-0.2248373537388514,0.6504495477128887,0.6395348837209303
combined_50_50,G1,False,172,0.06205585659478152,0.004209288956172896,0.045050712815865104,0.2895737516723631,0.1555759545044591,-0.6916390848411128,0.0060859616647313645,0.4883720930232558
combined_50_50,G2,False,172,0.8285310431071711,0.043004565892285074,0.08339714214141263,0.28964402449261945,0.2879297865284899,-0.6668156615426565,0.06449243527483353,0.5
combined_50_50,G3,False,172,0.8658115261755304,0.04447428357931882,0.08330296185676028,0.2846384076832301,0.29266240819287787,-0.6710039552982052,0.06628021076202704,0.5232558139534884
combined_50_50,G4,False,172,1.9263365593451889,0.07779025269174134,0.11504993246081387,0.2855365803086337,0.40292537067039713,-0.5913056777436544,0.13155674910577356,0.5
combined_50_50,G5,False,172,1.2655971170574656,0.05871773264236624,0.09638770896599969,0.28206966598180494,0.34171596804109106,-0.5939138248435174,0.09886574480369607,0.5232558139534884
combined_50_50,G6,False,172,1.6330043077977896,0.06987694875005523,0.10665731038052015,0.2814566431505162,0.3789475678621037,-0.5961526851022598,0.11721317457132485,0.5406976744186046
combined_50_50,G7,False,172,3.0992246264531893,0.10343468531248634,0.13926427834074803,0.2898242489995527,0.4805128584701791,-0.568991604958567,0.18178596030431463,0.5523255813953488
