signal_date,raw_rank_ic,neutralized_rank_ic,label_count
20120330,-0.015166229323106652,0.025432718238871967,1036
20120427,0.012481837899017188,0.03280481172546149,998
20120531,0.1000387641978928,0.08242842686465701,1075
20120629,0.011383912613677005,-0.052324730581304775,1084
20120731,-0.09991327927014229,0.01903445075368959,1137
20120831,0.08397945053259824,0.07507559876800579,1142
20120928,0.006827125102746601,0.006734981149009713,1164
20121031,0.23249222542173922,0.09109973863110014,1151
20121130,0.03622024598891945,0.23058871015803364,1127
20121231,0.00025068250850850403,-0.023839270252317392,1117
20130131,-0.003929625864099359,0.044776288160725784,1085
20130228,0.13232904144570357,0.0074613153287459,1064
20130329,0.028481755081159403,0.016758705345634055,1064
20130426,-0.18818637841895824,0.005787246508914831,1065
20130531,-0.0005604600694517422,-0.02066423276851637,1056
20130628,-0.15138642750823203,-0.03288243296670378,1068
20130731,0.03184440256732692,0.12057363365264537,1081
20130830,-0.11655918129966426,-0.03376996488616913,1106
20130930,0.19598327327689524,0.08860617002248337,1077
20131031,-0.20329758597956152,0.05589583040371511,1052
20131129,0.10962485199003343,0.12097936825823184,1035
20131231,-0.32962113946466287,-0.03170362899464114,1020
20140130,-0.05036785164807006,0.016999642904932433,1006
20140228,0.3400897023761287,0.15253693709504704,963
20140331,0.1535400261895379,0.11523140183741828,960
20140430,-0.30333717281429745,-0.022905744943490746,939
20140530,-0.2646569307299088,-0.009033064245632055,927
20140630,0.24683505918835894,0.07312534123303042,920
20140731,-0.12196524392639632,-0.010143496360579582,937
20140829,-0.15023967290191775,0.03206922860891198,931
20140930,0.10281618529505947,0.0223737633047239,920
20141031,0.08413759804502223,0.042945052839058986,932
20141128,0.3774076443219679,0.023331781811953892,906
20141231,-0.06981642675850766,0.12897482238430466,890
20150130,-0.26905548844466426,-0.04891124703953174,904
20150227,-0.11952425682241713,0.010312893883115452,847
20150331,0.03181679347424798,0.02936858741451735,841
20150430,-0.2500053358466762,0.015543713865550837,827
20150529,0.27927097200861417,0.15151798863446297,809
20150630,0.23807777910278052,0.22983778929067963,840
20150731,0.08005446228798767,0.11785748654790257,874
20150831,-0.08532282903128402,0.03658656491375928,939
20150930,-0.2674706771089632,-0.018850699144685158,958
20151030,-0.20065382556935227,0.05625796713391028,979
20151130,0.10753685935750187,0.14333813463176523,1019
20151231,0.3771066244096603,0.17922498701911047,1011
20160129,0.1826621831752123,0.0702450860292204,1016
20160229,-0.21173426390981628,-0.002590952050654887,988
20160331,0.10816897595337364,0.10289613681758701,1007
20160429,0.15273067019448522,0.10608791989146632,1015
20160531,-0.14064240840027328,0.03769399147858577,1024
20160630,0.30887732773651166,0.10395626205145383,1063
20160729,-0.061215646683850676,0.020429589801487257,1075
20160831,0.03571131820768928,0.04815643810563164,1093
20160930,-0.11045639358039966,0.023298538761404197,1087
20161031,-0.014078805658019652,-0.029413757116587846,1085
20161130,0.143556377468313,-0.013493963077598951,1106
20161230,0.284025787043606,0.0686726592988219,1124
20170126,0.03817826040553912,0.08693037333296562,1046
20170228,0.099512230887853,0.10981929582321984,1000
20170331,0.22893645522861605,0.05773809873843075,1034
20170428,0.24220398292662804,0.05577756227186227,1049
20170531,0.1658667246779063,0.1167434093778558,1050
20170630,0.2423495763056296,0.05994988637191264,1045
20170731,-0.18964903009704565,-0.0438226867232588,1100
20170831,-0.027179356136387806,0.045826105402692906,1129
20170929,0.2086204879334415,0.08627692594211019,1129
20171031,0.2182213654321451,0.06522546932812932,1089
20171130,0.1436661009210637,-0.00725395149664092,1113
20171229,0.16702584298843917,0.06731945027427784,1087
20180131,-0.03210843581656253,0.042082369764624684,1051
20180228,-0.2788050937606096,-0.03765783266711794,1005
20180330,0.022295669075205,-0.03572693651964648,1042
20180427,0.18200949121875706,0.07462259506118382,1086
20180531,0.018599329166566234,0.06031204697418684,1080
20180629,0.07597877290391887,0.018179412860247608,1137
20180731,-0.09322602844514473,-0.10988210448330082,1158
20180831,0.1466492677049749,-0.0027078778079088245,1221
20180928,0.07716038205466622,0.04112243760728505,1192
20181031,-0.03963031959119255,0.04809407556060279,1168
20181130,0.0910775098299477,-0.0010590143307205343,1184
20181228,0.07352751572552718,0.040863707392449856,1181
20190131,-0.19156548991953265,0.06281140483148272,1147
20190228,-0.018360549090016446,0.024726926287186698,1098
20190329,0.17123179577465472,0.03711887593325573,1149
20190430,-0.1447370027725818,-0.1459791140708236,1193
20190531,0.03145594000774303,0.08568362520794066,1197
20190628,0.1076822632191454,0.024967374301552995,1210
20190731,-0.1975278367838682,-0.07115262287826868,1235
20190830,-0.008340505045685653,0.02704966118237916,1247
20190930,0.03672575975845686,-0.051271343594150115,1232
20191031,0.14227244200812014,0.04820372365162564,1189
20191129,-0.1266877356387841,0.014720607029310369,1181
20191231,-0.17861113987958196,-0.08162497457755777,1171
20200123,-0.22352745674044278,-0.08724479888831439,1188
20200228,0.36354448029708625,0.09357725187442023,1176
20200331,-0.12872458487919794,-0.07830329062972671,1212
20200430,-0.10956839422915327,-0.07287766989242653,1207
20200529,-0.18849662822038035,-0.004231492577835607,1221
20200630,0.22296458191836785,0.04767684703725615,1228
20200731,0.20198197622002947,0.0755549825046986,1247
20200831,0.09658385464923214,0.03434912814677387,1280
20200930,0.058631757718599825,0.02952798684780185,1286
20201030,0.21568081052950128,0.13911260055143637,1235
20201130,-0.05059228733519256,-0.08315499526621316,1226
20201231,0.034594886006401024,-0.012867042721153084,1223
20210129,0.39096606367425746,0.2201229644298926,1264
20210226,0.29332810374941304,0.08667075889257385,1194
20210331,-0.12665350314760854,-0.0652338565645936,1192
20210430,-0.25360894992891686,-0.0849645391267253,1186
20210531,-0.1505649149636617,-0.08664790939846014,1206
20210630,-0.12727884495310235,-0.04532781499862533,1230
20210730,0.15597603428019882,0.05761428360545789,1217
20210831,0.26415324992054584,0.08173118476513169,1292
20210930,-0.17235680229822262,-0.07399312849383886,1300
20211029,-0.13118392417685545,0.006577569934482231,1266
20211130,0.4405273308960098,0.1254954010123737,1245
20211231,0.43163004089314466,0.21809967030066071,1270
20220128,0.1606444857695607,0.09377668690485834,1337
20220228,0.17665744793352345,0.10865044077115119,1281
20220331,0.2573615265536943,0.025869269961633502,1362
20220429,-0.2322624848295242,-0.05537312762759561,1427
20220531,-0.20016098444391697,-0.05637852752850103,1489
20220630,-0.17500865499262275,-0.04831081623884086,1503
20220729,0.1576708702828519,0.03668826059989901,1522
20220831,-0.024274784912800454,-0.10804576143812754,1585
20220930,-0.31804228594984496,-0.0937189291964147,1586
20221031,0.31476769784820313,0.15477506346481806,1583
20221130,0.03464839013615358,-0.04453614574155743,1617
20221230,-0.14217291624362063,0.09205604427778591,1650
20230131,0.13785180476504777,0.11157605867289126,1653
20230228,-0.03761504485871856,0.03381343992415387,1598
20230331,0.12807641710150497,-0.04845360485131429,1628
20230428,-0.17622480933070084,0.026281173766522864,1686
20230531,-0.011735360085774263,0.06791328539546272,1679
20230630,0.38528939207033186,0.0698208283226191,1699
20230731,0.16493822479620096,0.0016062641009822367,1715
20230831,0.1249136810084522,0.06105486850825196,1787
20230928,-0.12049711005075794,-0.051806182490399096,1808
20231031,-0.23969650074584373,-0.016859111836872245,1770
20231130,0.1877315776667817,0.11761528071547261,1740
20231229,0.5276008727829695,0.11238601912632958,1774
20240131,-0.12397032518887346,0.02470981178088705,1785
20240229,-0.02611085256948671,0.011923490042050061,1479
20240329,0.2228221384400313,0.020896777506249065,1449
20240430,0.14922238615883987,0.10569666791634677,1350
20240531,0.06647175247079684,0.019311731102860084,1363
20240628,0.011900034949347577,0.007799374729507524,1357
20240731,0.15314992254110535,-0.02566330041438705,1393
20240830,-0.25758503511937353,0.070531527187063,1425
20240930,-0.12453417817155997,-0.08476213574941299,1548
20241031,0.0361651418068098,0.04524033201723031,1539
20241129,0.07904970309878381,0.06318039220543302,1513
20241231,-0.3226770194928783,-0.06476043207489879,1509
20250127,-0.3319947258184348,-0.08748522423155881,1507
20250228,0.286871114890587,0.08905415038526707,1434
20250331,0.015098218139653532,-0.10905038517666253,1428
20250430,0.15660373338250555,0.08212052475483674,1470
20250530,-0.1914301241611762,0.04538423451610159,1502
20250630,0.07745417820194296,0.07563549531478098,1530
