signal_date,net_return,ending_nav,specification,group
20120330,0.06544370875219174,1.0654437087521917,pbroe_common,1
20120330,0.040696690002861136,1.0406966900028611,pbroe_common,2
20120330,0.04865001421706738,1.0486500142170674,pbroe_common,3
20120330,0.06099322332953805,1.060993223329538,pbroe_common,4
20120330,0.04961250199195155,1.0496125019919516,pbroe_common,5
20120330,0.04545385827196102,1.045453858271961,pbroe_common,6
20120330,0.056348177610500594,1.0563481776105006,pbroe_common,7
20120330,0.03529822858886744,1.0352982285888674,pbroe_common,8
20120330,0.05430116777460947,1.0543011677746095,pbroe_common,9
20120330,0.0674984415900437,1.0674984415900437,pbroe_common,10
20120330,0.0476315374193641,1.047631537419364,revision_common,1
20120330,0.05559880501688008,1.05559880501688,revision_common,2
20120330,0.05005545191976157,1.0500554519197616,revision_common,3
20120330,0.06523169911363613,1.0652316991136361,revision_common,4
20120330,0.04691423525491478,1.0469142352549148,revision_common,5
20120330,0.032491559538991854,1.0324915595389919,revision_common,6
20120330,0.05160101251802485,1.0516010125180248,revision_common,7
20120330,0.06521044956199806,1.065210449561998,revision_common,8
20120330,0.04280424446987108,1.042804244469871,revision_common,9
20120330,0.06491927724174018,1.0649192772417402,revision_common,10
20120330,0.055759813269878666,1.0557598132698787,combined_50_50,1
20120330,0.050552724937950266,1.0505527249379503,combined_50_50,2
20120330,0.040865215813803424,1.0408652158138034,combined_50_50,3
20120330,0.05787598984278741,1.0578759898427874,combined_50_50,4
20120330,0.0453614570452856,1.0453614570452856,combined_50_50,5
20120330,0.06432830610859797,1.064328306108598,combined_50_50,6
20120330,0.034978455205030956,1.034978455205031,combined_50_50,7
20120330,0.06262316431937331,1.0626231643193733,combined_50_50,8
20120330,0.06033202826254391,1.060332028262544,combined_50_50,9
20120330,0.04918977208745012,1.0491897720874501,combined_50_50,10
20120427,0.0305997109891456,1.0980459783152123,pbroe_common,1
20120427,-0.005310656742863129,1.035169907108822,pbroe_common,2
